product_id,product_name,discounted_price,actual_price,discount_percentage,rating,rating_count,rating_weighted,category_1,category_2,rating_score,difference_price,neg,neu,pos,compound
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",399.0,1099.0,0.64,4.2,24269.0,101929.8,Computers & Accessories,Accessories & Peripherals,Satisfied,700.0,0.029,0.519,0.451,0.9865
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",199.0,349.0,0.43,4.0,43994.0,175976.0,Computers & Accessories,Accessories & Peripherals,Satisfied,150.0,0.018,0.604,0.378,0.9964
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",199.0,1899.0,0.9,3.9,7928.0,30919.2,Computers & Accessories,Accessories & Peripherals,Neutral,1700.0,0.0,0.434,0.566,0.9828
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",329.0,699.0,0.53,4.2,94363.0,396324.60000000003,Computers & Accessories,Accessories & Peripherals,Satisfied,370.0,0.018,0.455,0.527,0.9935
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",154.0,399.0,0.61,4.2,16905.0,71001.0,Computers & Accessories,Accessories & Peripherals,Satisfied,245.0,0.075,0.605,0.319,0.9979
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",149.0,1000.0,0.85,3.9,24871.0,96996.9,Computers & Accessories,Accessories & Peripherals,Neutral,851.0,0.0,0.331,0.669,0.9944
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",176.63,499.0,0.65,4.1,15188.0,62270.799999999996,Computers & Accessories,Accessories & Peripherals,Satisfied,322.37,0.018,0.74,0.242,0.9846
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),229.0,299.0,0.23,4.3,30411.0,130767.29999999999,Computers & Accessories,Accessories & Peripherals,Satisfied,70.0,0.0,0.627,0.373,0.9938
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",499.0,999.0,0.5,4.2,179691.0,754702.2000000001,Computers & Accessories,Networking Devices,Satisfied,500.0,0.045,0.676,0.279,0.9989
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",199.0,299.0,0.33,4.0,43994.0,175976.0,Computers & Accessories,Accessories & Peripherals,Satisfied,100.0,0.018,0.604,0.378,0.9964
B08CF3D7QR,Portronics Konnect L POR-1081 Fast Charging 3A Type-C Cable 1.2Meter with Charge & Sync Function for All Type-C Devices (Grey),154.0,339.0,0.55,4.3,13391.0,57581.299999999996,Computers & Accessories,Accessories & Peripherals,Satisfied,185.0,0.042,0.648,0.31,0.9894
B0789LZTCJ,boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),299.0,799.0,0.63,4.2,94363.0,396324.60000000003,Computers & Accessories,Accessories & Peripherals,Satisfied,500.0,0.018,0.455,0.527,0.9935
B07KSMBL2H,"AmazonBasics Flexible Premium HDMI Cable (Black, 4K@60Hz, 18Gbps), 3-Foot",219.0,700.0,0.69,4.4,426973.0,1878681.2000000002,Electronics,"Home Theater, TV & Video",Satisfied,481.0,0.059,0.517,0.424,0.9948
B085DTN6R2,"Portronics Konnect CL 20W POR-1067 Type-C to 8 Pin USB 1.2M Cable with Power Delivery & 3A Quick Charge Support, Nylon Braided for All Type-C and 8 Pin Devices, Green",350.0,899.0,0.61,4.2,2262.0,9500.4,Computers & Accessories,Accessories & Peripherals,Satisfied,549.0,0.035,0.515,0.45,0.9944
B09KLVMZ3B,Portronics Konnect L 1.2M POR-1401 Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function (White),159.0,399.0,0.6,4.1,4768.0,19548.8,Computers & Accessories,Accessories & Peripherals,Satisfied,240.0,0.023,0.564,0.413,0.9945
B083342NKJ,MI Braided USB Type-C Cable for Charging Adapter (Red),349.0,399.0,0.13,4.4,18757.0,82530.8,Computers & Accessories,Accessories & Peripherals,Satisfied,50.0,0.042,0.463,0.495,0.9945
B0B6F7LX4C,MI 80 cm (32 inches) 5A Series HD Ready Smart Android LED TV L32M7-5AIN (Black),13999.0,24999.0,0.44,4.2,32840.0,137928.0,Electronics,"Home Theater, TV & Video",Satisfied,11000.0,0.115,0.415,0.47,0.9955
B082LSVT4B,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C to Type C Cable for Smartphones, Tablets, Laptops & Other Type C Devices, PD Technology, 480Mbps Data Sync (RCTT15, Black)",249.0,399.0,0.38,4.0,43994.0,175976.0,Computers & Accessories,Accessories & Peripherals,Satisfied,150.0,0.018,0.604,0.378,0.9964
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",199.0,499.0,0.6,4.1,13045.0,53484.49999999999,Computers & Accessories,Accessories & Peripherals,Satisfied,300.0,0.075,0.602,0.322,0.9886
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),13490.0,21990.0,0.39,4.3,11976.0,51496.799999999996,Electronics,"Home Theater, TV & Video",Satisfied,8500.0,0.081,0.356,0.563,0.9931
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",970.0,1799.0,0.46,4.5,815.0,3667.5,Computers & Accessories,Accessories & Peripherals,Satisfied,829.0,0.0,0.433,0.567,0.9974
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV",279.0,499.0,0.44,3.7,10962.0,40559.4,Electronics,"Home Theater, TV & Video",Neutral,220.0,0.078,0.623,0.299,0.9815
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),13490.0,22900.0,0.41,4.3,16299.0,70085.7,Electronics,"Home Theater, TV & Video",Satisfied,9410.0,0.207,0.519,0.275,0.836
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),59.0,199.0,0.7,4.0,9378.0,37512.0,Computers & Accessories,Accessories & Peripherals,Satisfied,140.0,0.03,0.624,0.346,0.9806
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),11499.0,19990.0,0.42,4.3,4703.0,20222.899999999998,Electronics,"Home Theater, TV & Video",Satisfied,8491.0,0.054,0.705,0.241,0.999
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),199.0,699.0,0.72,4.2,12153.0,51042.6,Electronics,"Home Theater, TV & Video",Satisfied,500.0,0.045,0.647,0.308,0.9929
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),14999.0,19999.0,0.25,4.2,34899.0,146575.80000000002,Electronics,"Home Theater, TV & Video",Satisfied,5000.0,0.064,0.639,0.297,0.9988
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",299.0,399.0,0.25,4.0,2766.0,11064.0,Computers & Accessories,Accessories & Peripherals,Satisfied,100.0,0.022,0.649,0.328,0.9883
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",970.0,1999.0,0.51,4.4,184.0,809.6,Computers & Accessories,Accessories & Peripherals,Satisfied,1029.0,0.022,0.519,0.459,0.9944
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",299.0,999.0,0.7,4.3,20850.0,89655.0,Computers & Accessories,Accessories & Peripherals,Satisfied,700.0,0.0,0.614,0.386,0.9965
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",199.0,750.0,0.73,4.5,74976.0,337392.0,Computers & Accessories,Accessories & Peripherals,Satisfied,551.0,0.023,0.697,0.28,0.9917
B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",179.0,499.0,0.64,4.0,1934.0,7736.0,Computers & Accessories,Accessories & Peripherals,Satisfied,320.0,0.041,0.694,0.264,0.9939
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",389.0,1099.0,0.65,4.3,974.0,4188.2,Computers & Accessories,Accessories & Peripherals,Satisfied,710.0,0.04,0.495,0.465,0.9943
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",599.0,599.0,0.0,4.3,355.0,1526.5,Computers & Accessories,Accessories & Peripherals,Satisfied,0.0,0.027,0.545,0.428,0.9909
B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",199.0,999.0,0.8,3.9,1075.0,4192.5,Computers & Accessories,Accessories & Peripherals,Neutral,800.0,0.06,0.585,0.355,0.9875
B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",99.0,666.66,0.85,3.9,24871.0,96996.9,Computers & Accessories,Accessories & Peripherals,Neutral,567.66,0.0,0.331,0.669,0.9944
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",899.0,1900.0,0.53,4.4,13552.0,59628.8,Computers & Accessories,Accessories & Peripherals,Satisfied,1001.0,0.036,0.506,0.459,0.9967
B09RZS1NQT,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices – Red, 1 Meter",199.0,999.0,0.8,4.0,576.0,2304.0,Computers & Accessories,Accessories & Peripherals,Satisfied,800.0,0.042,0.46,0.499,0.9968
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),32999.0,45999.0,0.28,4.2,7298.0,30651.600000000002,Electronics,"Home Theater, TV & Video",Satisfied,13000.0,0.125,0.695,0.18,0.9777
